match_date,team1,team2,winner,margin,ground,scorecard,team1_mahadasha_lord,team1_mahadasha_lord_dignity,team1_mahadasha_lord_score,team1_antardasha_lord,team1_antardasha_lord_dignity,team1_antardasha_lord_score,team1_agreement_classification,team1_moon_rashi,team1_moon_nakshatra,team2_mahadasha_lord,team2_mahadasha_lord_dignity,team2_mahadasha_lord_score,team2_antardasha_lord,team2_antardasha_lord_dignity,team2_antardasha_lord_score,team2_agreement_classification,team2_moon_rashi,team2_moon_nakshatra
2019-01-03,New Zealand,Sri Lanka,New Zealand,45 runs,Mount Maunganui,ODI # 4074,venus,DEBILITATED,-0.5,rahu,N/A,-0.5,Tradition-specific,Mesha,Bharani,mars,NEUTRAL,-0.5,saturn,NEUTRAL,0.5,Contradictory,Vrischika,Anuradha
2019-01-04,New Zealand,Sri Lanka,New Zealand,21 runs,Mount Maunganui,ODI # 4075,venus,DEBILITATED,-0.5,rahu,N/A,-0.5,Tradition-specific,Mesha,Bharani,mars,NEUTRAL,-0.5,saturn,NEUTRAL,0.5,Contradictory,Vrischika,Anuradha
2019-01-05,New Zealand,Sri Lanka,New Zealand,115 runs,Nelson,ODI # 4076,venus,DEBILITATED,-0.5,rahu,N/A,-0.5,Tradition-specific,Mesha,Bharani,mars,NEUTRAL,-0.5,saturn,NEUTRAL,0.5,Contradictory,Vrischika,Anuradha
2019-01-06,Australia,India,Australia,34 runs,Sydney,ODI # 4077,venus,NEUTRAL,0.5,rahu,N/A,-0.5,Tradition-specific,Mesha,Bharani,moon,OWN_SIGN,1.5,jupiter,NEUTRAL,-0.5,Insufficient,Karka,Pushya
2019-01-07,Australia,India,India,6 wickets,Adelaide,ODI # 4078,venus,NEUTRAL,0.5,rahu,N/A,-0.5,Tradition-specific,Mesha,Bharani,moon,OWN_SIGN,1.5,jupiter,NEUTRAL,-0.5,Insufficient,Karka,Pushya
2019-01-08,Australia,India,India,7 wickets,Melbourne,ODI # 4079,venus,NEUTRAL,0.5,rahu,N/A,-0.5,Tradition-specific,Mesha,Bharani,moon,OWN_SIGN,1.5,jupiter,NEUTRAL,-0.5,Insufficient,Karka,Pushya
2019-01-09,South Africa,Pakistan,Pakistan,5 wickets,Gqeberha,ODI # 4080,moon,NEUTRAL,1.5,jupiter,NEUTRAL,-0.5,Insufficient,Kumbha,Dhanishta,venus,NEUTRAL,0.5,jupiter,NEUTRAL,-0.5,Insufficient,Mithuna,Ardra
2019-01-10,South Africa,Pakistan,South Africa,5 wickets,Durban,ODI # 4081,moon,NEUTRAL,1.5,jupiter,NEUTRAL,-0.5,Insufficient,Kumbha,Dhanishta,venus,NEUTRAL,0.5,jupiter,NEUTRAL,-0.5,Insufficient,Mithuna,Ardra
2019-01-11,New Zealand,India,India,8 wickets,Napier,ODI # 4082,venus,DEBILITATED,-0.5,rahu,N/A,-0.5,Tradition-specific,Mesha,Bharani,moon,OWN_SIGN,1.5,jupiter,NEUTRAL,-0.5,Insufficient,Karka,Pushya
2019-01-12,U.A.E.,Nepal,U.A.E.,3 wickets,ICCA Dubai,ODI # 4083,jupiter,NEUTRAL,1.5,moon,EXALTED,3.5,Strong,Vrishabha,Krittika,moon,NEUTRAL,-0.5,saturn,NEUTRAL,0.5,Contradictory,Mesha,Krittika
2019-01-13,South Africa,Pakistan,South Africa,13 runs,Centurion,ODI # 4084,moon,NEUTRAL,1.5,jupiter,NEUTRAL,-0.5,Insufficient,Kumbha,Dhanishta,venus,NEUTRAL,0.5,jupiter,NEUTRAL,-0.5,Insufficient,Mithuna,Ardra
2019-01-14,New Zealand,India,India,90 runs,Mount Maunganui,ODI # 4085,venus,DEBILITATED,-0.5,rahu,N/A,-0.5,Tradition-specific,Mesha,Bharani,moon,OWN_SIGN,1.5,jupiter,NEUTRAL,-0.5,Insufficient,Karka,Pushya
2019-01-15,U.A.E.,Nepal,Nepal,145 runs,ICCA Dubai,ODI # 4086,jupiter,NEUTRAL,1.5,moon,EXALTED,3.5,Strong,Vrishabha,Krittika,moon,NEUTRAL,-0.5,saturn,NEUTRAL,0.5,Contradictory,Mesha,Krittika
2019-01-16,South Africa,Pakistan,Pakistan,8 wickets,Johannesburg,ODI # 4087,moon,NEUTRAL,1.5,jupiter,NEUTRAL,-0.5,Insufficient,Kumbha,Dhanishta,venus,NEUTRAL,0.5,jupiter,NEUTRAL,-0.5,Insufficient,Mithuna,Ardra
2019-01-17,New Zealand,India,India,7 wickets,Mount Maunganui,ODI # 4088,venus,DEBILITATED,-0.5,rahu,N/A,-0.5,Tradition-specific,Mesha,Bharani,moon,OWN_SIGN,1.5,jupiter,NEUTRAL,-0.5,Insufficient,Karka,Pushya
2019-01-18,U.A.E.,Nepal,Nepal,4 wickets,ICCA Dubai,ODI # 4089,jupiter,NEUTRAL,1.5,moon,EXALTED,3.5,Strong,Vrishabha,Krittika,moon,NEUTRAL,-0.5,saturn,NEUTRAL,0.5,Contradictory,Mesha,Krittika
2019-01-19,South Africa,Pakistan,South Africa,7 wickets,Cape Town,ODI # 4090,moon,NEUTRAL,1.5,jupiter,NEUTRAL,-0.5,Insufficient,Kumbha,Dhanishta,venus,NEUTRAL,0.5,jupiter,NEUTRAL,-0.5,Insufficient,Mithuna,Ardra
2019-01-20,New Zealand,India,New Zealand,8 wickets,Hamilton,ODI # 4091,venus,DEBILITATED,-0.5,rahu,N/A,-0.5,Tradition-specific,Mesha,Bharani,moon,OWN_SIGN,1.5,jupiter,NEUTRAL,-0.5,Insufficient,Karka,Pushya
2019-01-21,New Zealand,India,India,35 runs,Wellington,ODI # 4092,venus,DEBILITATED,-0.5,rahu,N/A,-0.5,Tradition-specific,Mesha,Bharani,moon,OWN_SIGN,1.5,jupiter,NEUTRAL,-0.5,Insufficient,Karka,Pushya
2019-02-13,New Zealand,Bangladesh,New Zealand,8 wickets,Napier,ODI # 4093,venus,DEBILITATED,-0.5,rahu,N/A,-0.5,Tradition-specific,Mesha,Bharani,ketu,N/A,0.5,rahu,N/A,-0.5,Tradition-specific,Kumbha,Purva Bhadrapada
2019-02-16,New Zealand,Bangladesh,New Zealand,8 wickets,Christchurch,ODI # 4094,venus,DEBILITATED,-0.5,rahu,N/A,-0.5,Tradition-specific,Mesha,Bharani,ketu,N/A,0.5,rahu,N/A,-0.5,Tradition-specific,Kumbha,Purva Bhadrapada
2019-02-20,New Zealand,Bangladesh,New Zealand,88 runs,Dunedin,ODI # 4095,venus,DEBILITATED,-0.5,rahu,N/A,-0.5,Tradition-specific,Mesha,Bharani,ketu,N/A,0.5,rahu,N/A,-0.5,Tradition-specific,Kumbha,Purva Bhadrapada
2019-02-28,Afghanistan,Ireland,Afghanistan,5 wickets,Dehradun,ODI # 4100,venus,DEBILITATED,-0.5,venus,DEBILITATED,-0.5,Strong,Vrishabha,Krittika,sun,NEUTRAL,0.5,rahu,N/A,-0.5,Tradition-specific,Mithuna,Ardra
2019-03-02,Afghanistan,Ireland,no result,-,Dehradun,ODI # 4101,venus,DEBILITATED,-0.5,venus,DEBILITATED,-0.5,Strong,Vrishabha,Krittika,sun,NEUTRAL,0.5,rahu,N/A,-0.5,Tradition-specific,Mithuna,Ardra
2019-03-02,India,Australia,India,6 wickets,Hyderabad,ODI # 4102,moon,OWN_SIGN,1.5,jupiter,NEUTRAL,-0.5,Insufficient,Karka,Pushya,venus,NEUTRAL,0.5,rahu,N/A,-0.5,Tradition-specific,Mesha,Bharani
2019-03-03,South Africa,Sri Lanka,South Africa,8 wickets,Johannesburg,ODI # 4104,moon,NEUTRAL,1.5,jupiter,NEUTRAL,-0.5,Insufficient,Kumbha,Dhanishta,mars,NEUTRAL,-0.5,saturn,NEUTRAL,0.5,Contradictory,Vrischika,Anuradha
2019-03-05,Afghanistan,Ireland,Ireland,4 wickets,Dehradun,ODI # 4105,venus,DEBILITATED,-0.5,venus,DEBILITATED,-0.5,Strong,Vrishabha,Krittika,sun,NEUTRAL,0.5,rahu,N/A,-0.5,Tradition-specific,Mithuna,Ardra
2019-03-05,India,Australia,India,8 runs,Nagpur,ODI # 4106,moon,OWN_SIGN,1.5,jupiter,NEUTRAL,-0.5,Insufficient,Karka,Pushya,venus,NEUTRAL,0.5,rahu,N/A,-0.5,Tradition-specific,Mesha,Bharani
2019-03-06,South Africa,Sri Lanka,South Africa,113 runs,Centurion,ODI # 4107,moon,NEUTRAL,1.5,jupiter,NEUTRAL,-0.5,Insufficient,Kumbha,Dhanishta,mars,NEUTRAL,-0.5,saturn,NEUTRAL,0.5,Contradictory,Vrischika,Anuradha
2019-03-08,Afghanistan,Ireland,Afghanistan,109 runs,Dehradun,ODI # 4108,venus,DEBILITATED,-0.5,venus,DEBILITATED,-0.5,Strong,Vrishabha,Krittika,sun,NEUTRAL,0.5,rahu,N/A,-0.5,Tradition-specific,Mithuna,Ardra
2019-03-08,India,Australia,Australia,32 runs,Ranchi,ODI # 4109,moon,OWN_SIGN,1.5,jupiter,NEUTRAL,-0.5,Insufficient,Karka,Pushya,venus,NEUTRAL,0.5,rahu,N/A,-0.5,Tradition-specific,Mesha,Bharani
2019-03-10,Afghanistan,Ireland,Ireland,5 wickets,Dehradun,ODI # 4110,venus,DEBILITATED,-0.5,venus,DEBILITATED,-0.5,Strong,Vrishabha,Krittika,sun,NEUTRAL,0.5,rahu,N/A,-0.5,Tradition-specific,Mithuna,Ardra
