Date/Location                         Body         Local (deg)    Live (deg)  Diff (arcsec)
Patna (mandatory test case)           sun            33.422841     33.422840          0.001
Patna (mandatory test case)           moon          208.905114    208.905115         -0.004
Patna (mandatory test case)           mercury        43.806194     43.806193          0.002
Patna (mandatory test case)           venus          26.809200     26.809200          0.001
Patna (mandatory test case)           mars           45.976168     45.976168          0.001
Patna (mandatory test case)           jupiter        26.333973     26.333969          0.013
Patna (mandatory test case)           saturn         27.494128     27.494138         -0.038
Patna (mandatory test case)           asc             4.475067      4.475067          0.000
New York (mandatory 1946 test case)   sun            59.664917     59.664916          0.001
New York (mandatory 1946 test case)   moon          236.123614    236.123612          0.004
New York (mandatory 1946 test case)   mercury        75.442796     75.442795          0.001
New York (mandatory 1946 test case)   venus          92.435511     92.435510          0.001
New York (mandatory 1946 test case)   mars          123.578594    123.578594         -0.000
New York (mandatory 1946 test case)   jupiter       174.347816    174.347834         -0.066
New York (mandatory 1946 test case)   saturn         90.691683     90.691714         -0.109
New York (mandatory 1946 test case)   asc            78.823657     78.823657          0.000
Tokyo 1830-06-17                      sun            64.383912     64.383913         -0.002
Tokyo 1830-06-17                      moon           24.140039     24.140057         -0.062
Tokyo 1830-06-17                      mercury        61.526237     61.526235          0.009
Tokyo 1830-06-17                      venus          21.126483     21.126484         -0.002
Tokyo 1830-06-17                      mars          320.074025    320.074033         -0.026
Tokyo 1830-06-17                      jupiter       263.595340    263.595420         -0.291
Tokyo 1830-06-17                      saturn        113.282148    113.282176         -0.100
Tokyo 1830-06-17                      asc             1.906994      1.906994         -0.000
London 1800-10-03                     sun           168.597540    168.597541         -0.004
London 1800-10-03                     moon          351.476261    351.476284         -0.083
London 1800-10-03                     mercury       165.869045    165.869048         -0.011
London 1800-10-03                     venus         184.405678    184.405679         -0.004
London 1800-10-03                     mars           33.957410     33.957426         -0.057
London 1800-10-03                     jupiter        99.752881     99.752950         -0.249
London 1800-10-03                     saturn        119.557151    119.557178         -0.096
London 1800-10-03                     asc           140.600607    140.600607          0.000
Moscow 1915-01-27                     sun           284.222210    284.222210          0.001
Moscow 1915-01-27                     moon           65.586485     65.586484          0.001
Moscow 1915-01-27                     mercury       298.864216    298.864216         -0.000
Moscow 1915-01-27                     venus         237.836873    237.836873          0.001
Moscow 1915-01-27                     mars          275.497164    275.497165         -0.002
Moscow 1915-01-27                     jupiter       305.654408    305.654436         -0.101
Moscow 1915-01-27                     saturn         63.476729     63.476755         -0.092
Moscow 1915-01-27                     asc           183.825541    183.825541         -0.000
London 1990-09-21                     sun           154.131467    154.131467          0.001
London 1990-09-21                     moon          178.261379    178.261379         -0.002
London 1990-09-21                     mercury       136.888942    136.888942          0.000
London 1990-09-21                     venus         143.317259    143.317259          0.001
London 1990-09-21                     mars           45.150865     45.150865          0.001
London 1990-09-21                     jupiter       102.909775    102.909775          0.002
London 1990-09-21                     saturn        264.976599    264.976596          0.008
London 1990-09-21                     asc           119.136006    119.136006         -0.000
New York 1942-09-10                   sun           143.996628    143.996627          0.001
New York 1942-09-10                   moon          140.932349    140.932348          0.004
New York 1942-09-10                   mercury       170.051526    170.051526          0.001
New York 1942-09-10                   venus         126.694541    126.694541          0.001
New York 1942-09-10                   mars          152.414231    152.414231         -0.000
New York 1942-09-10                   jupiter        86.364994     86.365010         -0.059
New York 1942-09-10                   saturn         49.269089     49.269107         -0.064
New York 1942-09-10                   asc           134.024408    134.024408          0.000
New Delhi 2024-11-23                  sun           217.924474    217.924474          0.001
New Delhi 2024-11-23                  moon          137.604563    137.604565         -0.008
New Delhi 2024-11-23                  mercury       238.105228    238.105228         -0.000
New Delhi 2024-11-23                  venus         260.229984    260.229984          0.001
New Delhi 2024-11-23                  mars          100.882127    100.882127         -0.001
New Delhi 2024-11-23                  jupiter        53.908201     53.908183          0.066
New Delhi 2024-11-23                  saturn        318.549517    318.549510          0.024
New Delhi 2024-11-23                  asc           180.440220    180.440220         -0.000
London 1823-07-19                     sun            94.773861     94.773861         -0.002
London 1823-07-19                     moon          237.737841    237.737856         -0.053
London 1823-07-19                     mercury        74.798886     74.798887         -0.003
London 1823-07-19                     venus         139.967061    139.967062         -0.002
London 1823-07-19                     mars           67.000338     67.000341         -0.010
London 1823-07-19                     jupiter        66.315632     66.315690         -0.208
London 1823-07-19                     saturn         30.480485     30.480488         -0.014
London 1823-07-19                     asc           239.681388    239.681388          0.000
Singapore 2034-09-09                  sun           142.621772    142.621771          0.001
Singapore 2034-09-09                  moon          105.131590    105.131594         -0.012
Singapore 2034-09-09                  mercury       168.119110    168.119110          0.001
Singapore 2034-09-09                  venus         184.390645    184.390645          0.002
